name;instance_size;time;memory;min_path;path;real result;real path
matrix12;12;238,8989785;;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,000999212;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;2,727011442;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;37,2716589;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,00099802;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,000997543;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,824761868;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;22,35398912;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,001000166;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,927643776;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
;;;;;;;
