;;;;;;;
matrix_my_4;4;0,0;43429888;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0;43683840;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,03140521049499512;43700224;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0;43712512;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;25,432583570480347;47337472;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
;;;;;;;
matrix_my_4;4;0,0;43446272;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0;43708416;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,015627145767211914;43728896;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0;43728896;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;25,408021926879883;47353856;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
;;;;;;;
matrix_my_4;4;0,01562047004699707;43520000;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0;43782144;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,0;43794432;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0;43794432;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,8849210739135742;47316992;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
;;;;;;;
matrix_my_4;4;0,0;43839488;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0;44089344;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,0;44118016;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0;44126208;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,8773336410522461;47734784;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
matrix12;12;598,3278095722198;22683648;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];
;;;;;;;

;;;;;;;
matrix_my_4;4;0,002866983413696289;42876928;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0025229454040527344;43196416;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,0023102760314941406;43204608;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,001995086669921875;43204608;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;1,2492783069610596;46313472;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
;;;;;;;
matrix_my_4;4;0,0;43532288;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0];
matrix_my_5;5;0,0;43847680;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0];
matrix6_1;6;0,0;43864064;132;[0, 1, 2, 3, 4, 5, 0];132; [0, 1, 2, 3, 4, 5, 0];
matrix6_2;6;0,0;43868160;80;[0, 5, 1, 2, 3, 4, 0];80; [0, 5, 1, 2, 3, 4, 0];
matrix10;10;0,8499054908752441;46854144;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];
